emp_no,first_name,last_name,title,from_date,to_date,salary
44954,Adhemar,Nitta,Senior Engineer,1995-06-25,2000-03-17,40000
44955,Aram,Kawashima,Engineer,1995-08-13,9999-01-01,53874
44963,Amabile,Gimbel,Senior Engineer,1996-12-26,9999-01-01,94383
44965,Tetsurou,Suppi,Senior Engineer,1988-10-19,9999-01-01,58994
44966,Foong,Beetstra,Senior Engineer,2001-01-18,9999-01-01,40000
44975,Shih,Shihab,Senior Engineer,1988-06-27,1995-07-25,62956
44988,Oldrich,Kleiser,Engineer,1997-07-24,9999-01-01,59873
44992,Kendra,Perna,Technique Leader,1988-02-02,9999-01-01,40000
44994,Godehard,Cappelletti,Engineer,1999-03-04,2000-03-25,40000
44998,Vishv,Kaiser,Engineer,1998-05-29,9999-01-01,66062
45002,Leif,Klyachko,Senior Engineer,1995-11-06,9999-01-01,40000
45005,Tamiya,Blokdijk,Staff,1985-02-20,1989-06-09,71230
45006,Vishv,Liedekerke,Senior Engineer,1991-04-12,9999-01-01,45963
45014,Souichi,Orsini,Senior Staff,1985-07-18,9999-01-01,71247
45042,Marek,Heinisuo,Technique Leader,1985-11-20,9999-01-01,52819
45053,Ymte,Zongker,Technique Leader,1986-11-05,9999-01-01,60172
45054,Aloys,Pauthner,Senior Staff,1987-09-05,1996-05-25,40000
45055,Xiaobin,Radhakrishnan,Senior Engineer,2000-08-23,9999-01-01,43138
45058,Shuzo,Mahmud,Senior Engineer,1994-01-18,9999-01-01,43472
45062,Aemilian,Hammerschmidt,Senior Staff,2001-09-03,9999-01-01,65998
45066,Seongbin,Gadepally,Senior Engineer,1991-08-29,9999-01-01,62679
45069,Lenore,Valette,Senior Engineer,1995-07-04,9999-01-01,40216
45070,Ennio,Frolund,Senior Engineer,1994-02-20,9999-01-01,40000
45085,Toshimi,Sidou,Engineer,1993-07-21,1995-06-16,40000
45092,Francesca,Chandrasekhar,Staff,1995-11-25,9999-01-01,63645
45099,Tua,Chiola,Staff,1988-09-03,1992-06-07,46346
45121,Menkae,Christianini,Senior Engineer,2000-12-03,9999-01-01,56603
45130,Bezalel,Puppe,Senior Staff,1995-02-01,9999-01-01,40000
45138,Miomir,Karcich,Senior Staff,1992-08-25,9999-01-01,75142
45142,Perla,Rehfuss,Senior Engineer,1991-11-14,9999-01-01,58778
45145,Almudena,Zumaque,Senior Staff,1986-08-10,9999-01-01,59548
45163,Peer,Flowers,Engineer,1996-05-26,9999-01-01,47276
45166,Licheng,Lorho,Senior Staff,1998-10-29,9999-01-01,54187
45170,Irena,Rissanen,Senior Staff,1995-12-15,9999-01-01,49547
45172,Saeko,Radhakrishnan,Senior Engineer,2001-10-20,9999-01-01,54912
45174,Ravishankar,Pollacia,Technique Leader,1986-02-10,1992-04-11,72202
45177,Alassane,Iacovou,Engineer,1996-08-07,9999-01-01,40000
45193,Reinhard,Lubachevsky,Senior Staff,1993-11-11,9999-01-01,63949
45200,Teunis,Chvatal,Technique Leader,1987-07-29,9999-01-01,59523
45204,Alexius,Candan,Senior Engineer,1995-05-05,9999-01-01,43238
45209,Yinghua,Cardazo,Senior Staff,1998-02-15,9999-01-01,47678
45210,Arie,Schlegelmilch,Senior Staff,1994-12-20,2001-11-08,40000
45216,Gou,Ballarin,Senior Engineer,1993-05-26,9999-01-01,41211
45217,Marsal,Pena,Senior Staff,2002-07-29,9999-01-01,40000
45228,Utpal,Unni,Senior Engineer,2000-05-08,9999-01-01,52606
45232,Chaosheng,Senzako,Technique Leader,1993-08-14,9999-01-01,79507
45244,Joydip,Lueh,Senior Staff,1985-11-07,9999-01-01,41610
45245,Margo,Ishibashi,Senior Staff,1991-03-20,9999-01-01,58029
45251,Billur,Brandsma,Senior Staff,1994-05-08,9999-01-01,80647
45256,Berry,Puppo,Senior Staff,1992-02-29,1995-03-29,75600
45261,George,Larfeldt,Senior Staff,1993-06-17,9999-01-01,55147
45269,Arve,Avouris,Senior Staff,1991-09-13,9999-01-01,83548
45275,Arun,Swan,Technique Leader,1986-01-21,9999-01-01,49876
45290,Thanasis,Varman,Senior Engineer,1994-02-17,9999-01-01,40000
45293,Duke,Lakshmanan,Technique Leader,1992-01-01,9999-01-01,40000
45298,Shay,Valtorta,Senior Staff,1993-08-24,9999-01-01,56982
45306,Pranjal,Rajaraman,Senior Engineer,1997-03-19,9999-01-01,48231
45311,Zengping,Talmor,Senior Staff,1993-01-23,9999-01-01,63339
45313,DAIDA,Schusler,Senior Staff,1999-04-20,9999-01-01,60624
45314,Zhigen,Motley,Senior Staff,1993-03-10,9999-01-01,50780
45318,Franziska,Dalton,Senior Engineer,1996-08-08,9999-01-01,40000
45327,Khedija,Karner,Staff,1995-11-19,9999-01-01,40000
45331,Keung,Peot,Senior Engineer,1985-04-24,9999-01-01,40000
45333,Leszek,Waeselynck,Senior Engineer,2000-01-15,9999-01-01,63235
45342,Fatemeh,Sluis,Engineer,1999-09-26,9999-01-01,52468
45344,Shigeo,Servieres,Senior Engineer,2001-04-25,9999-01-01,63050
45352,Yuichiro,Zallocco,Engineer,1998-11-13,9999-01-01,40000
45363,Kenroku,Hainaut,Senior Engineer,1994-02-21,9999-01-01,40000
45364,Pantung,Picht,Technique Leader,1990-03-20,9999-01-01,47444
45366,Ranan,Gargeya,Senior Staff,1996-04-05,9999-01-01,40000
45376,Mabo,Toyoshima,Senior Staff,1990-07-17,9999-01-01,55568
45377,Temple,Flasterstein,Senior Staff,1986-08-29,9999-01-01,40977
45380,Arunachalam,Michaels,Senior Staff,1993-01-10,2002-04-18,40000
45382,Yoshimitsu,Stassinopoulos,Senior Engineer,1997-03-01,9999-01-01,40000
45390,Sedat,Alameldin,Senior Staff,1999-12-13,9999-01-01,56817
45402,Kwok,Liesche,Staff,1998-01-25,9999-01-01,40000
45416,Avishai,Percebois,Senior Staff,1992-12-04,9999-01-01,51789
45429,Ferdinand,Tempesti,Senior Engineer,1994-11-01,1996-05-21,40000
45432,Richard,Barreiro,Senior Staff,1986-03-24,9999-01-01,64386
45436,Gila,Limongiello,Senior Staff,1997-01-17,9999-01-01,56671
45460,Mang,Rande,Technique Leader,1985-11-18,9999-01-01,41469
45466,Guiseppe,Tomescu,Staff,1998-12-07,9999-01-01,87135
45467,Huican,Bahk,Senior Engineer,1995-02-14,9999-01-01,40000
45468,Padma,Pell,Senior Engineer,2000-06-23,9999-01-01,72091
45479,Ferdinand,Krupka,Senior Engineer,1997-10-09,9999-01-01,52393
45488,Shigehiro,Shackel,Senior Staff,1988-01-27,9999-01-01,79290
45496,Wojceich,Dolinsky,Senior Engineer,1987-07-13,1996-04-18,40000
45507,Xiong,Lamparter,Senior Engineer,1988-04-16,9999-01-01,51514
45514,Jessie,Alpin,Staff,1999-08-19,9999-01-01,79268
45534,Perla,Jullig,Staff,1998-12-20,9999-01-01,86547
45537,Ottavia,Wissmann,Senior Engineer,1994-04-22,9999-01-01,49858
45544,Candido,Coombs,Staff,1999-09-03,9999-01-01,40000
45545,Along,Bruckman,Engineer,1999-08-13,9999-01-01,40000
45546,Gopalakrishnan,Lanphier,Senior Staff,1996-02-27,9999-01-01,102460
45550,Shaowen,McFarlin,Senior Engineer,1993-05-21,9999-01-01,53893
45552,Aloys,Albarhamtoshy,Senior Staff,1987-08-17,9999-01-01,69599
45557,Girolamo,Legleitner,Engineer,1996-05-25,9999-01-01,40000
45558,Denny,Gulik,Senior Staff,1997-06-18,1997-11-25,40000
45561,Navid,Lodder,Senior Engineer,2000-06-24,9999-01-01,40000
45566,Lena,Marsiglia,Senior Staff,1990-06-22,9999-01-01,46112
45570,Shuho,Schwartzburd,Senior Engineer,1997-09-27,9999-01-01,41149
45593,Xiaocheng,Litzler,Senior Engineer,1993-07-27,9999-01-01,52190
45599,Ronnie,Harnett,Senior Engineer,2000-06-07,9999-01-01,40000
45601,Rafael,Spell,Engineer,1997-06-27,9999-01-01,48687
45612,King,Monkewich,Senior Engineer,1993-06-18,9999-01-01,45243
45618,Huiqun,Kandlur,Senior Engineer,1993-08-24,1996-02-11,47314
45629,Guoxiang,Nanard,Staff,1999-05-07,9999-01-01,40000
45630,Renny,Clouatre,Staff,1987-02-14,1995-04-26,70415
45634,Barry,Ghemri,Senior Engineer,1994-03-30,9999-01-01,67342
45639,Yuichiro,Brendel,Staff,1988-07-09,1990-06-08,94983
45645,Hausi,Desikan,Staff,1997-07-13,9999-01-01,44932
45657,Jianhao,Hedayat,Engineer,1995-02-07,9999-01-01,40000
45658,Maja,Ebeling,Senior Staff,1998-03-25,9999-01-01,45050
45669,Janalee,Boudaillier,Senior Engineer,1994-07-25,9999-01-01,66337
45685,Anwar,Huhdanpaa,Senior Staff,1992-02-11,9999-01-01,40000
45695,Danco,Kowalchuk,Senior Engineer,1985-11-21,9999-01-01,40000
45698,Sanjoy,Melichar,Senior Staff,1993-05-15,9999-01-01,72382
45702,Peer,Showalter,Senior Staff,1996-09-17,9999-01-01,40000
45709,Oddvar,Schnelling,Senior Staff,1987-08-12,9999-01-01,42401
45722,Behnaam,Munke,Assistant Engineer,1987-03-14,1988-03-08,40000
45731,Naraig,Bouloucos,Senior Engineer,1986-03-12,9999-01-01,44160
45732,Moheb,Gruenwald,Senior Staff,1991-03-28,9999-01-01,54826
45743,Adas,Baaleh,Senior Staff,2001-03-14,9999-01-01,65720
45768,Limsoon,Hemaspaandra,Staff,1994-01-28,1998-07-01,40000
45788,Shiv,Mitsuhashi,Senior Engineer,2001-04-18,9999-01-01,48099
45797,Chikara,Khalid,Senior Engineer,1997-12-31,9999-01-01,40000
45798,Gad,Plotkin,Senior Staff,1996-06-07,9999-01-01,40000
45803,Padma,Lanzelotte,Staff,1993-09-21,9999-01-01,94436
45808,Yongdong,Eiron,Senior Engineer,1988-04-28,9999-01-01,67640
45809,Wilmer,Arlazarov,Senior Staff,1993-03-25,9999-01-01,50421
45814,Zhenbing,Malabarba,Senior Staff,1990-06-29,9999-01-01,55267
45821,Garnik,Dredge,Senior Engineer,1992-08-17,9999-01-01,51546
45827,Ortrun,Schonegge,Technique Leader,1985-02-13,9999-01-01,40000
45828,Panayotis,Litzkow,Senior Engineer,2002-05-02,9999-01-01,65770
45844,Patricia,Fetvedt,Senior Staff,1993-06-12,9999-01-01,40000
45854,Zsolt,Kriebel,Senior Staff,1996-08-10,9999-01-01,40000
45859,Christfried,Matheson,Engineer,1999-02-07,2002-01-15,40000
45867,Hailing,Denna,Senior Engineer,1987-06-20,9999-01-01,41291
45875,Sandeepan,Lorch,Engineer,1994-08-19,2001-02-28,59726
45883,JoAnna,Maccarone,Senior Staff,1986-08-31,9999-01-01,40000
45886,Ioana,Ginesta,Senior Staff,1995-10-15,9999-01-01,63626
45895,Sajjad,Vural,Senior Staff,2001-05-06,9999-01-01,53341
45904,Arunas,DasSarma,Senior Engineer,1997-12-26,9999-01-01,40000
45908,Masasuke,Heyers,Senior Engineer,2001-09-10,9999-01-01,40000
45915,Paddy,Gluchowski,Senior Staff,1996-06-12,9999-01-01,41921
45919,Aemilian,Denti,Senior Staff,1996-09-10,9999-01-01,54551
45923,Masato,Xiaoshan,Senior Staff,1988-03-21,9999-01-01,62573
45924,Vidar,Hettesheimer,Senior Engineer,1990-03-14,1996-12-08,40000
45951,Duke,Garnick,Technique Leader,1986-10-26,9999-01-01,45623
45962,Remco,Kalorkoti,Senior Engineer,1998-09-26,9999-01-01,40000
45965,Radoslaw,Fendler,Staff,1986-04-08,1987-02-09,40000
45971,Chuanti,Welham,Senior Engineer,1991-11-12,1993-04-07,40000
45972,Rafael,Bednarek,Senior Engineer,1997-02-03,9999-01-01,40000
45973,Mokhtar,Bernatsky,Senior Staff,1991-08-05,9999-01-01,70974
45977,Ulf,Wiegley,Senior Staff,2002-06-28,9999-01-01,44570
45979,Uno,Colorni,Senior Engineer,1985-12-26,9999-01-01,40000
45998,Inderjeet,Rodiger,Staff,1996-06-20,9999-01-01,41444
46004,Toshimori,Schlegelmilch,Engineer,1998-11-13,9999-01-01,40000
46025,Yurii,Demir,Engineer,2000-05-30,9999-01-01,62359
46026,Leon,Schrooten,Senior Engineer,1996-11-14,9999-01-01,40000
46028,Sakthirel,Emmerich,Senior Staff,1998-09-14,9999-01-01,66926
46037,Mohit,Preusig,Senior Engineer,1985-05-21,9999-01-01,72671
46042,Youssef,Vrecion,Senior Staff,1993-04-10,9999-01-01,54737
46054,Udi,Bultermann,Engineer,1997-01-15,9999-01-01,40750
46055,Charlene,Fabrizio,Senior Engineer,1991-02-13,9999-01-01,40000
46059,Susumu,DuCasse,Staff,1997-05-27,9999-01-01,75362
46066,Ennio,Conde,Senior Engineer,1989-08-12,9999-01-01,40000
46068,Laurentiu,Weisert,Senior Staff,2001-07-12,9999-01-01,40000
46075,Lucien,Cunliffe,Senior Engineer,1995-08-29,9999-01-01,45519
46079,Genevieve,Varman,Senior Engineer,1986-12-02,9999-01-01,56474
46083,Charmane,Speek,Engineer,1998-07-29,9999-01-01,57612
46089,Giordano,Emden,Senior Staff,1985-10-20,9999-01-01,45787
46090,Iara,Whittlesey,Senior Engineer,1987-12-19,9999-01-01,42445
46104,Yoshinari,Kavvadias,Senior Staff,1992-09-14,9999-01-01,45599
46109,Kiyotoshi,Kragelund,Senior Staff,2000-05-28,9999-01-01,102429
46124,Shunichi,Barinka,Senior Staff,1997-09-19,9999-01-01,57654
46135,Ramzi,Brobst,Engineer,1987-01-13,1987-05-01,44349
46141,Sven,Nollmann,Senior Engineer,1995-02-17,9999-01-01,61599
46147,Zita,Katzenelson,Senior Engineer,1999-06-21,2000-12-13,40000
46159,Barun,Grabner,Senior Staff,1988-10-17,9999-01-01,40736
46164,Arumugam,Wynblatt,Senior Engineer,1986-03-31,9999-01-01,51057
46176,Hatsukazu,Murrill,Senior Engineer,1991-08-13,9999-01-01,40000
46179,Houman,Marciano,Senior Staff,1985-05-03,1986-11-23,54478
46189,Yongdong,Reistad,Senior Staff,1999-06-24,9999-01-01,61523
46191,Hilari,Pocchiola,Engineer,2001-06-06,9999-01-01,47480
46203,Ferdinand,Dymetman,Senior Engineer,1985-06-04,9999-01-01,40000
46221,Weidon,Kobuchi,Assistant Engineer,1993-09-23,9999-01-01,51056
46236,Thodoros,Edelhoff,Senior Engineer,1996-05-18,9999-01-01,40000
46247,Sachem,Bach,Staff,1997-10-27,2000-02-16,40000
46248,Leif,dAstous,Senior Engineer,1986-05-28,9999-01-01,40000
46250,Yefim,Decleir,Senior Staff,1993-06-20,9999-01-01,69390
46258,Nechama,Przulj,Staff,1995-01-08,9999-01-01,40000
46260,Tze,Karlin,Technique Leader,1999-12-31,9999-01-01,53467
46261,Owen,Uehara,Staff,1999-09-30,9999-01-01,84153
46266,Kiam,Carrera,Technique Leader,1995-02-15,9999-01-01,40000
46272,Mong,Shiratori,Senior Engineer,1996-04-01,9999-01-01,65889
46281,Rosine,Berztiss,Technique Leader,1992-04-25,9999-01-01,40000
46299,Constantine,Hmelo,Senior Engineer,2000-06-16,9999-01-01,40000
46305,Yakichi,Lamba,Senior Engineer,1996-03-05,9999-01-01,40000
46316,Padma,Karnin,Senior Staff,1990-05-24,9999-01-01,68015
46317,Susanta,Rebaine,Senior Staff,1997-11-09,9999-01-01,57251
46318,Susumu,Vieth,Senior Engineer,1997-02-04,9999-01-01,40000
46323,Masako,Tzvieli,Staff,1998-08-19,9999-01-01,75704
46326,Harjit,Paludetto,Senior Staff,1998-02-21,9999-01-01,40000
46335,Shuji,Ananiadou,Senior Engineer,1992-12-09,9999-01-01,40000
46339,Stepehn,Linares,Senior Staff,1995-11-01,9999-01-01,56890
46345,Ortrun,Kolvik,Senior Engineer,1994-01-25,9999-01-01,40000
46347,Nadjib,Standera,Senior Engineer,1994-11-30,9999-01-01,40000
46352,Unal,Zambonelli,Senior Staff,1988-11-21,9999-01-01,89610
46356,Sham,Przulj,Senior Staff,1992-10-02,9999-01-01,79940
46363,Masaki,Mahnke,Senior Engineer,2000-04-08,2001-05-09,52727
46392,Emdad,Zykh,Senior Staff,1994-05-05,9999-01-01,60793
46402,Koichi,Conta,Engineer,1993-08-24,1997-07-02,46579
46407,Hideyuki,Braunmuhl,Staff,1993-12-09,9999-01-01,40000
46414,Ferdinand,Schahn,Senior Engineer,2000-08-10,9999-01-01,40000
46425,Martina,Leivant,Senior Engineer,1995-05-05,9999-01-01,68060
46439,Ibibia,Junet,Senior Staff,1997-05-18,9999-01-01,119124
46440,Pranav,Rosay,Engineer,2002-03-28,9999-01-01,53108
46452,Filipp,Christianini,Senior Engineer,1994-09-15,9999-01-01,53925
46454,Naraig,Vanwelkenhuysen,Senior Staff,1988-09-03,1995-02-06,40000
46457,Alenka,Keohane,Technique Leader,1988-01-09,9999-01-01,51352
46466,Eberhardt,Cusworth,Senior Engineer,1991-11-29,9999-01-01,53479
46470,Adhemar,Rassart,Technique Leader,1987-06-18,9999-01-01,40000
46484,Neelam,Rabehasaina,Senior Staff,1995-10-25,9999-01-01,59795
46500,Mong,Keirsey,Engineer,1996-09-21,9999-01-01,40000
46519,Valdiodio,Chachaty,Engineer,1987-03-02,1988-06-18,67221
46532,Siamak,Ruther,Senior Staff,1997-02-14,9999-01-01,64589
46548,Uno,Schlenzig,Senior Engineer,1987-02-10,9999-01-01,40000
46554,Ramzi,DuCasse,Senior Staff,1991-12-01,1992-05-27,40000
46561,Sivanarayana,Potthoff,Senior Staff,1992-06-10,1995-11-27,66087
46562,Tiina,Panangaden,Senior Engineer,1999-06-30,9999-01-01,40252
46563,Marlo,Veldwijk,Senior Engineer,1996-08-26,9999-01-01,40000
46567,Khatoun,Kirkerud,Staff,1998-01-16,9999-01-01,63043
46574,Yuping,Sinitsyn,Senior Staff,1995-04-12,9999-01-01,65251
46576,Kasidit,Lorys,Staff,1998-12-05,9999-01-01,40000
46580,Sachar,Coors,Engineer,1991-03-10,1992-08-22,40000
46585,Kazuhisa,Bressoud,Engineer,1996-05-19,9999-01-01,71081
46587,Macha,Baaleh,Senior Staff,1998-05-10,9999-01-01,80392
46603,Tesuya,Miara,Staff,1992-11-30,1996-10-23,78629
46619,Taizo,Docker,Senior Staff,1994-10-23,9999-01-01,65764
46622,Filipp,Krzyzanowski,Assistant Engineer,1997-07-26,9999-01-01,57693
46630,Shao,Coorg,Senior Engineer,1993-04-05,9999-01-01,40000
46635,Saeed,Frezza,Senior Engineer,1997-09-24,9999-01-01,54001
46636,Chaoyi,Munawer,Senior Engineer,1995-04-26,2000-02-17,62761
46642,Masadi,Kusakabe,Senior Staff,1997-09-26,9999-01-01,40000
46646,Subir,Cesareni,Engineer,1997-10-28,9999-01-01,45327
46664,Toshimori,Benveniste,Senior Staff,1994-12-18,9999-01-01,92218
46666,Mabhin,Avouris,Senior Staff,1993-07-17,9999-01-01,40000
46670,Marie,Unno,Staff,1998-04-05,9999-01-01,48252
46672,Heekeun,Rehfuss,Senior Staff,1995-04-04,9999-01-01,40000
46680,Phuoc,Fairtlough,Senior Staff,1988-08-29,9999-01-01,53167
46683,Ger,Wynblatt,Staff,1997-01-10,9999-01-01,72751
46685,Valter,Takanami,Senior Engineer,1996-05-02,9999-01-01,46359
46714,Goa,Cronin,Technique Leader,1995-07-20,9999-01-01,40000
46717,Roded,Yeung,Senior Engineer,1993-05-18,9999-01-01,40000
46721,Mang,Narlikar,Senior Engineer,1993-02-23,9999-01-01,55077
46727,LiMin,Dratva,Staff,1998-06-28,9999-01-01,40000
46730,Lakshmi,Flexer,Senior Engineer,1996-09-26,9999-01-01,40000
46739,Goncalo,Douceur,Senior Engineer,1986-02-14,9999-01-01,40000
46740,Denis,Kisuki,Senior Staff,1998-08-14,9999-01-01,40000
46749,Gaetan,Lamparter,Senior Engineer,1994-01-21,9999-01-01,40000
46753,Bangqing,Miake,Senior Engineer,1996-04-03,1999-04-05,51434
46755,Jenwei,Frezza,Senior Staff,2000-07-14,9999-01-01,66106
46757,Supot,Delgrange,Senior Engineer,1993-02-25,9999-01-01,44647
46768,Shimshon,Narahari,Senior Staff,1998-04-19,9999-01-01,40000
46773,Vojin,Parveen,Senior Engineer,1996-02-20,9999-01-01,43783
46814,Sergi,Kushnir,Engineer,1985-03-01,1992-05-12,57092
46824,Almudena,Kropp,Staff,1988-11-07,1990-07-19,40000
46838,Yakichi,Marzano,Senior Staff,1996-10-25,9999-01-01,68645
46853,Aiichiro,Walston,Senior Staff,1997-07-17,9999-01-01,64802
46858,Lubomir,Gente,Senior Staff,1993-11-05,9999-01-01,83213
46864,Ferdinand,Sooriamurthi,Senior Staff,1999-01-19,9999-01-01,82282
46866,Sangeeta,Garnham,Senior Staff,1987-11-18,9999-01-01,76163
46881,Sadun,Ranai,Senior Engineer,1995-06-06,1997-04-26,40000
46882,Ebbe,Swist,Senior Staff,1996-12-03,9999-01-01,48635
46900,Parke,Peot,Senior Staff,1994-04-08,1994-10-24,54651
46901,Krisda,Orlowska,Engineer,1999-12-03,9999-01-01,41985
46910,Marsja,Maccarone,Senior Staff,1999-04-28,1999-06-22,73052
46927,Khaled,Matheson,Senior Staff,2000-01-25,9999-01-01,40000
46953,Lucien,Luga,Senior Staff,1992-10-19,9999-01-01,43352
46959,Dulce,Haldar,Senior Engineer,1995-02-13,9999-01-01,40000
46960,Adas,Ranze,Senior Engineer,1996-06-26,9999-01-01,40000
46964,Tiina,McClure,Senior Engineer,1996-01-11,9999-01-01,40000
46972,Srinidhi,Rahimi,Staff,2000-01-29,2002-06-24,88561
46974,Shigehiro,Melski,Senior Engineer,1991-08-17,9999-01-01,40000
46984,Pascal,Kandlur,Senior Engineer,2001-07-25,9999-01-01,65966
46993,Brigham,Swab,Technique Leader,1999-05-06,9999-01-01,45268
47005,Eric,Selvestrel,Senior Staff,1997-08-12,9999-01-01,71250
47008,Radhika,Narlikar,Senior Engineer,2001-05-08,9999-01-01,40000
47010,Goh,Nannarelli,Senior Staff,1996-06-07,9999-01-01,55775
47013,Kerhong,Straney,Engineer,1999-06-22,9999-01-01,41731
47021,Mang,Paludetto,Senior Staff,1993-11-12,9999-01-01,40000
47022,Mostafa,Terlouw,Staff,1995-11-23,9999-01-01,40000
47034,Mario,Krupka,Senior Staff,1994-08-28,9999-01-01,46160
47038,Nathan,Krohn,Senior Engineer,1991-04-12,9999-01-01,48972
47039,Tru,Caine,Senior Engineer,1992-09-28,1998-09-22,40000
47044,Jongsuk,Ushiama,Senior Engineer,1987-08-08,1990-09-26,51758
47047,Shugo,Nourani,Engineer,2001-11-28,9999-01-01,40000
47050,Aimee,Nyrup,Staff,1997-11-03,9999-01-01,40000
47056,Parto,Marciano,Senior Staff,1996-08-28,9999-01-01,77089
47057,Weidon,Scallan,Senior Staff,1995-07-13,2002-06-13,40000
47059,DAIDA,Hoppenstand,Senior Engineer,1988-03-08,9999-01-01,80376
47061,Kinh,Servi,Senior Staff,1996-06-11,9999-01-01,56823
47084,Toshimori,Fortenbacher,Senior Staff,1991-04-23,9999-01-01,44471
47088,Oddvar,Melski,Senior Staff,1997-06-17,9999-01-01,56583
47094,Leni,Shimshoni,Senior Engineer,2000-09-07,9999-01-01,59515
47103,Mamdouh,Lueh,Senior Staff,1991-12-04,9999-01-01,48788
47107,Thanasis,Pews,Senior Staff,1988-01-30,9999-01-01,51514
47116,Oscar,Rosar,Senior Staff,1989-04-16,9999-01-01,76911
47117,Munehiko,Zhiwei,Senior Engineer,2000-08-01,9999-01-01,47836
47137,Valter,Marchegay,Senior Staff,2002-01-28,9999-01-01,92421
47142,Deborah,Eldridge,Senior Staff,1999-01-16,2002-05-18,51070
47145,Tommaso,Plavsic,Senior Engineer,1995-06-11,9999-01-01,40000
47146,Masato,Ramaiah,Senior Engineer,1992-12-29,9999-01-01,60808
47148,Makato,Baezner,Senior Engineer,1995-04-12,9999-01-01,40000
47166,Chiranjit,Bade,Senior Staff,1991-10-05,9999-01-01,64214
47168,Nahum,Pell,Senior Engineer,1994-06-05,9999-01-01,40000
47173,Lakshmi,Velasco,Senior Staff,1995-12-23,9999-01-01,45369
47177,Harjit,Thimonier,Staff,1988-10-16,1990-11-04,91946
47178,Rimon,Srimani,Senior Engineer,1992-07-27,9999-01-01,40000
47185,Premsyl,Homond,Engineer,1995-05-31,9999-01-01,45866
47203,Samphel,Fasbender,Staff,1996-10-22,9999-01-01,40000
47205,Valeri,Whittlesey,Technique Leader,1985-03-12,9999-01-01,40569
47206,Adin,Eterovic,Senior Staff,1996-03-14,1998-04-28,83568
47215,Zhenbing,Swen,Senior Engineer,1994-09-12,9999-01-01,40000
47224,Kankanahalli,Honiden,Senior Engineer,2000-08-17,9999-01-01,57544
47226,Limsoon,Lammel,Assistant Engineer,1987-05-30,1991-10-01,67298
47227,Jiafu,Gulla,Senior Engineer,1998-09-28,9999-01-01,60919
47236,Masako,Polupanov,Staff,1998-01-29,9999-01-01,50691
47239,Zissis,Schaad,Senior Engineer,1997-06-22,9999-01-01,53575
47246,Teruyuki,Broder,Senior Engineer,2001-03-01,9999-01-01,40000
47249,Jayson,Swen,Senior Staff,1995-03-26,9999-01-01,40000
47265,Chikako,Birke,Senior Staff,1987-05-07,9999-01-01,62511
47282,Mihalis,Herath,Senior Engineer,1994-09-16,9999-01-01,40000
47286,Yinlin,Kamble,Senior Staff,1994-09-06,9999-01-01,108923
47288,Nishit,Ratnaker,Senior Staff,1992-01-05,9999-01-01,92306
47293,Unal,Beidas,Senior Engineer,2002-06-16,9999-01-01,40000
47299,Dmitri,Wixon,Senior Engineer,1995-05-26,9999-01-01,40000
47311,Saeko,Baik,Senior Staff,1997-04-17,9999-01-01,40000
47325,Jaewoo,Beeson,Senior Staff,1994-05-22,1996-07-26,40000
47332,Yahiko,Marzano,Engineer,1996-08-10,2001-06-07,40000
47340,Jaber,Pokrovskii,Senior Engineer,1994-12-12,9999-01-01,43914
47342,Shichao,Stiles,Senior Staff,1995-03-17,9999-01-01,64991
47355,Valdiodio,Grospietsch,Staff,1986-08-24,1992-08-20,87348
47358,Tommaso,Lieberherr,Senior Engineer,1994-12-29,9999-01-01,59821
47374,Yonghong,Kaiserswerth,Senior Staff,1993-08-16,9999-01-01,56376
47376,Mats,Rouquie,Technique Leader,2000-01-04,9999-01-01,65898
47379,Rance,Tchuente,Senior Staff,1999-07-02,9999-01-01,40103
47383,Amabile,Melichar,Senior Staff,1999-01-28,9999-01-01,79310
47401,Arco,Thisen,Technique Leader,1998-02-16,9999-01-01,67807
47407,Paraskevi,Siksek,Senior Engineer,1992-09-20,1996-10-30,40000
47409,Kazuhira,Buchter,Senior Engineer,1994-06-29,9999-01-01,40000
47414,Youjian,Ratnakar,Senior Engineer,1994-05-24,9999-01-01,49220
47438,Dayanand,Mandell,Staff,1999-02-03,9999-01-01,84984
47445,Masami,Kropp,Senior Engineer,1995-01-13,9999-01-01,44119
47446,Werner,Matzke,Senior Engineer,1992-11-19,9999-01-01,44330
47458,Jianhao,Baez,Senior Staff,1993-11-21,1996-01-06,40000
47462,Beshir,Sooriamurthi,Senior Staff,1993-09-29,9999-01-01,51389
47466,Mayuri,Biron,Senior Engineer,1991-08-20,9999-01-01,40000
47470,Toong,Deville,Senior Staff,1997-11-29,9999-01-01,63386
47488,Sumant,Delgrange,Engineer,1996-01-12,9999-01-01,80930
47497,Uzi,Biran,Engineer,1993-09-01,1994-05-01,56083
47516,Ronnie,Assaf,Senior Staff,1995-04-01,9999-01-01,60270
47553,Falguni,Zallocco,Engineer,1999-10-07,9999-01-01,68388
47554,Kinh,Dechter,Engineer,1986-06-05,1990-01-24,43065
47567,Marc,Pouyioutas,Senior Staff,1995-06-27,9999-01-01,40000
47568,Jaewoo,Lagarias,Senior Engineer,1992-06-30,9999-01-01,47948
47581,Jagoda,Copas,Senior Staff,1987-03-04,9999-01-01,41986
47586,Goncalo,Rothe,Senior Engineer,1987-01-17,9999-01-01,40000
